CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,6,-,-,-,-,-,600,"2,912.75","2,958.50",600,"12,800.00",-,-,0.05,"42,825",-0.10,0.05,113.29,"4,258",-373,"3,938",
,1,-,-,-,-,-,"1,500","2,814.50","3,018.20","1,500","12,850.00",-,-,0.10,"7,425",-0.05,0.10,116.82,183,61,354,
,-,-,-,-,-,-,"1,500","2,757.85","2,858.45",975,"12,900.00",-,-,0.05,"5,475",-0.15,0.05,109.28,"2,253",458,"1,435",
,-,-,-,-,-,-,"1,500","2,680.60","2,903.70","1,500","12,950.00",-,-,0.20,"3,000",-0.05,0.25,120.95,65,-14,48,
,54,-13,66,-,"2,735.00",89.10,525,"2,706.70","2,758.45",975,"13,000.00",-,-,0.05,"32,400",-0.15,0.05,105.31,"4,621",-504,"3,800",
,-,-,-,-,-,-,"1,500","2,618.50","2,760.25","1,500","13,050.00",-,-,0.20,"3,000",-0.15,0.05,103.33,647,9,78,
,-,-,-,-,-,-,"1,500","2,569.45","2,708.30","1,500","13,100.00",-,-,0.05,"6,075",-0.15,0.05,101.35,"1,853",-,890,
,-,-,-,-,-,-,"1,500","2,520.50","2,649.95","1,500","13,150.00",-,-,0.25,"5,400",-0.10,0.05,99.39,43,-2,40,
,-,-,-,-,-,-,"1,500","2,471.50","2,599.75","1,500","13,200.00",-,-,0.05,"17,775",-0.40,0.05,97.42,"3,257",494,798,
,-,-,-,-,-,-,"1,500","2,386.55","2,592.55","1,500","13,250.00",-,-,0.25,"3,225",-0.15,0.15,103.44,"3,485",10,13,
,-,-,-,-,-,-,"1,500","2,337.50","2,495.25","1,500","13,300.00",-,-,0.05,"1,200",-0.45,0.05,93.51,925,-86,320,
,-,-,-,-,-,-,"1,500","2,324.55","2,455.80","1,500","13,350.00",-,-,0.30,"3,000",-0.30,0.10,96.22,"2,594",5,59,
,-,-,-,-,-,-,"1,500","2,239.55","2,414.35","1,500","13,400.00",-,-,0.15,"3,600",-0.35,0.05,89.62,"1,065",-95,411,
,-,-,-,-,-,-,"1,500","2,190.60","2,363.70","1,500","13,450.00",-,-,0.05,75,-,-,-,-,-,28,
,24,-21,38,-,"2,197.00",51.10,525,"2,207.10","2,258.45",975,"13,500.00",-,-,0.10,"1,350",-0.35,0.15,93.01,"4,580",-650,"2,607",
,-,-,-,-,-,-,"1,500","2,092.35","2,261.40","1,500","13,550.00",-,-,0.25,"3,300",-0.35,0.25,94.83,26,1,112,
,1,-,-,-,-,-,"1,500","2,015.15","2,158.45",975,"13,600.00",-,-,0.10,"2,400",-0.55,0.05,81.90,"1,273",-43,279,
,-,-,-,-,-,-,"1,500","2,030.55","2,159.55","1,500","13,650.00",-,-,0.30,"3,000",-0.30,0.05,79.98,77,-,25,
,1,-,-,-,-,-,"1,500","1,920.15","2,058.45",975,"13,700.00",-,-,0.15,"3,600",-0.50,0.05,78.07,"1,113",-83,449,
,-,-,-,-,-,-,"1,500","1,932.45","2,047.95","1,500","13,750.00",-,-,0.30,"3,000",-0.20,0.10,80.12,46,41,44,
,1,-,-,-,-,-,"1,500","1,825.20","1,958.45",975,"13,800.00",-,-,0.10,"2,400",-0.55,0.05,74.25,"1,965",-100,816,
,-,-,-,-,-,-,"1,500","1,834.55","1,945.95","1,500","13,850.00",-,-,0.30,"3,000",-0.25,0.15,78.61,6,1,14,
,1,-,-,-,-,-,"1,500","1,730.15","1,858.45",975,"13,900.00",-,-,0.10,"2,625",-0.35,0.05,70.45,"1,747",-125,"1,384",
,-,-,-,-,-,-,"1,500","1,736.55","1,845.15","1,500","13,950.00",-,-,0.05,375,-0.30,0.05,68.56,99,-35,15,
,9,-2,6,-,"1,721.40",69.05,525,"1,710.10","1,758.45",975,"14,000.00",-,-,0.05,"5,775",-0.45,0.05,66.67,"14,973","-1,935","7,852",
,-,-,-,-,-,-,"1,500","1,629.55","1,753.55","1,500","14,050.00",-,-,0.30,"3,075",-0.75,0.05,64.78,86,-58,17,
,2,-,-,-,-,-,"1,500","1,577.80","1,658.45",975,"14,100.00","3,450",0.05,0.10,"5,175",-0.55,0.10,66.25,"2,078",-103,958,
,-,-,-,-,-,-,"1,500","1,513.10","1,651.30","1,500","14,150.00",-,-,0.25,"2,400",-0.35,0.05,61.02,29,-5,39,
,6,-,6,-,"1,539.00",9.00,"1,500","1,483.60","1,558.45",975,"14,200.00",-,-,0.05,"4,875",-0.45,0.05,59.15,"2,577",-183,"1,554",
,-,-,-,-,-,-,"1,500","1,409.45","1,540.00",750,"14,250.00",-,-,0.30,"8,625",-0.30,0.10,60.36,137,-16,169,
,7,-,4,-,"1,400.00",69.05,150,"1,437.00","1,454.90",750,"14,300.00",-,-,0.05,75,-0.60,0.05,55.40,"3,451",-939,946,
,1,-,-,-,-,-,"1,500","1,317.30","1,439.00",750,"14,350.00","2,100",0.05,0.10,"4,650",-0.65,0.10,53.53,180,-2,46,
,8,-2,7,-,"1,345.75",121.80,"3,000","1,305.10","1,344.70",750,"14,400.00",-,-,0.05,525,-0.55,0.05,51.67,"6,107","-1,493","1,934",
,-,-,-,-,-,-,"1,500","1,238.05","1,337.00",750,"14,450.00",-,-,0.15,150,-0.70,0.05,49.81,231,-111,84,
,47,-92,113,-,"1,237.80",124.20,75,"1,223.65","1,244.75",75,"14,500.00",-,-,0.05,"21,000",-0.65,0.05,47.95,"68,288","-9,072","14,515",
,2,-,1,-,"1,175.00",-34.20,750,"1,162.00","1,229.00",750,"14,550.00",-,-,0.10,"2,700",-0.50,0.10,48.64,208,-,166,
,61,-33,95,-,"1,136.00",108.20,750,"1,133.00","1,158.45",975,"14,600.00",-,-,0.05,"12,900",-0.60,0.05,44.23,"13,200",-865,"6,653",
,4,1,3,-,"1,046.10",39.55,750,"1,061.00","1,129.00",750,"14,650.00",-,-,0.05,"3,525",-0.50,0.05,42.37,762,86,260,
,96,-30,64,-,"1,038.10",92.05,150,"1,030.00","1,042.00",225,"14,700.00",-,-,0.05,"48,075",-0.80,0.05,40.52,"16,223","-2,719","4,543",
,47,-2,9,-,988.70,90.10,450,980.00,"1,029.90","3,000","14,750.00",-,-,0.05,"4,950",-0.90,0.10,40.86,"1,212",-581,277,
,148,-249,482,-,935.25,105.90,600,935.00,958.45,975,"14,800.00",-,-,0.05,"88,875",-0.90,0.05,36.81,"20,452","-1,040","6,010",
,74,-5,17,-,886.90,95.30,"3,000",860.10,897.00,600,"14,850.00",-,-,0.10,"9,150",-0.85,0.15,38.30,"2,017",-677,823,
,67,-45,125,-,838.25,83.35,750,835.00,858.45,975,"14,900.00",-,-,0.10,"27,000",-1.10,0.05,33.10,"22,605","-2,246","4,744",
,11,-1,8,-,787.55,72.70,"3,000",760.10,829.90,"3,000","14,950.00",-,-,0.10,"5,175",-1.20,0.10,33.08,"3,753",-385,873,
,260,-365,819,-,738.95,92.30,300,738.50,758.45,975,"15,000.00",-,-,0.05,"1,39,275",-1.40,0.05,29.39,"1,45,188","-7,516","34,517",
,73,7,103,-,688.00,140.20,"3,000",660.10,725.00,75,"15,050.00",-,-,0.10,"3,900",-1.50,0.10,29.18,"5,048",-456,"1,699",
,229,-218,405,-,638.30,92.55,150,638.05,658.45,975,"15,100.00",-,-,0.05,"4,050",-1.70,0.05,25.67,"71,643","-7,233","14,019",
,62,-103,197,-,588.95,89.95,300,560.15,593.05,450,"15,150.00",-,-,0.10,"12,900",-1.95,0.10,25.26,"12,307",-529,"2,348",
,433,-233,614,-,538.95,90.55,75,535.00,539.30,75,"15,200.00",-,-,0.05,"27,600",-2.20,0.05,21.94,"1,71,771","2,058","26,012",
,169,-51,344,-,503.40,111.00,"3,000",460.10,524.10,75,"15,250.00",-,-,0.05,450,-2.60,0.05,20.06,"58,542","-2,169","6,770",
,866,-527,"2,020",-,442.10,96.75,75,438.60,439.70,75,"15,300.00","21,000",0.05,0.15,75,-3.10,0.10,19.34,"2,52,114","-1,986","28,277",
,742,-83,403,-,390.65,101.10,"3,000",387.25,390.65,600,"15,350.00","2,175",0.05,0.10,"9,750",-3.70,0.10,16.29,"1,20,287","1,234","11,137",
,"1,563",-470,"3,787",-,339.00,93.10,"3,000",337.25,339.00,225,"15,400.00","1,81,950",0.05,0.10,150,-4.70,0.10,15.34,"4,19,631","6,513","41,001",
,469,-395,"3,123",-,288.35,92.85,75,287.95,288.35,300,"15,450.00",-,-,0.10,"9,375",-6.20,0.05,12.47,"2,33,172","-7,695","10,393",
,"2,361","-2,458","45,593",-,238.10,87.20,75,238.10,238.45,525,"15,500.00",-,-,0.05,"31,725",-9.85,0.05,10.54,"7,27,321","-14,123","30,923",
,999,"-1,262","35,838",-,187.65,80.10,"1,500",187.65,188.45,75,"15,550.00","1,36,125",0.05,0.10,"6,225",-16.85,0.05,9.20,"6,48,063","-9,031","15,243",
,"9,157","-9,052","3,21,914",-,138.00,65.05,300,138.00,138.20,"14,925","15,600.00","1,05,975",0.05,0.10,"9,000",-31.00,0.05,6.59,"14,90,809","4,886","43,072",
,"4,783","-12,212","4,51,798",-,88.15,42.80,225,87.70,88.15,75,"15,650.00",-,-,0.05,"7,350",-51.40,0.05,4.55,"14,74,113","6,037","26,685",
,"35,629","-20,896","22,36,321",-,38.00,11.30,"31,275",38.00,38.10,"3,000","15,700.00",-,-,0.05,"2,20,350",-83.80,0.05,2.41,"27,34,759","36,630","59,302",
,"62,681","21,011","29,37,356",0.16,0.05,-14.55,-,-,0.05,"32,175","15,750.00","8,400",11.90,12.00,"5,250",-109.65,12.00,3.30,"11,89,631","4,392","11,151",
,"62,753","-7,564","21,07,382",2.57,0.05,-7.80,-,-,0.05,"91,200","15,800.00","8,250",61.65,61.80,"1,950",-104.75,61.65,8.70,"4,36,555","-1,951","6,034",
,"23,473","-14,567","6,45,702",4.67,0.05,-4.25,-,-,0.05,"19,875","15,850.00",450,111.05,112.20,"1,050",-100.60,111.05,13.14,"44,606",-301,"1,354",
,"33,081","-10,110","4,97,456",6.67,0.05,-3.00,-,-,0.05,"87,975","15,900.00",75,161.00,162.15,975,-95.85,162.15,17.15,"32,842","-1,327",940,
,"13,298","-4,123","1,43,750",8.61,0.05,-2.45,-,-,0.05,"5,100","15,950.00",75,211.65,212.50,450,-100.55,212.50,20.93,"2,500",-165,"1,236",
,"48,603","-19,563","3,66,732",10.51,0.05,-2.25,-,-,0.05,"36,150","16,000.00",525,261.30,261.90,75,-99.10,261.70,24.08,"7,357",-410,"7,444",
,"9,131","-3,619","54,475",13.21,0.10,-1.95,-,-,0.10,"10,350","16,050.00",525,309.55,314.50,525,-107.95,312.40,27.96,282,-69,329,
,"19,256","-10,920","1,40,396",14.21,0.05,-1.75,-,-,0.05,"22,275","16,100.00",75,361.40,363.00,75,-95.30,362.00,30.97,775,-9,"3,951",
,"5,171","-1,694","15,844",16.01,0.05,-1.60,"5,400",0.05,0.10,"11,700","16,150.00",750,409.55,415.35,750,-96.90,413.20,35.13,29,-8,49,
,"20,533","-10,739","92,680",17.80,0.05,-1.55,-,-,0.05,"14,175","16,200.00",750,459.65,465.45,675,-88.70,465.30,39.96,210,-7,931,
,"2,708","-1,149","6,966",19.57,0.05,-1.45,-,-,0.05,"6,450","16,250.00",750,508.65,515.55,750,-96.30,505.35,32.79,9,-1,12,
,"13,312","-5,359","59,780",21.31,0.05,-1.30,-,-,0.05,"98,250","16,300.00",750,558.55,565.65,750,-116.15,562.25,43.67,196,-100,216,
,"1,016",-491,"2,962",23.05,0.05,-1.25,-,-,0.05,"1,950","16,350.00",75,575.35,639.90,"3,000",-84.40,612.85,47.23,6,2,4,
,"6,494","-7,282","33,686",24.76,0.05,-1.25,-,-,0.05,"20,100","16,400.00",75,625.45,682.05,975,-86.70,662.35,49.70,9,-3,15,
,154,-247,"1,421",28.04,0.10,-1.15,-,-,0.10,"1,875","16,450.00",75,675.35,739.90,"3,000",-114.05,716.30,56.39,4,1,4,
,"17,452","-15,575","85,910",28.15,0.05,-1.20,-,-,0.05,"99,825","16,500.00",75,735.95,782.05,975,-102.50,762.10,55.20,115,-16,188,
,100,-131,640,29.83,0.05,-1.05,-,-,0.05,600,"16,550.00","3,000",775.30,839.90,"3,000",-56.50,829.40,72.79,2,-,4,
,"3,109","-1,629","11,314",31.49,0.05,-1.05,-,-,0.05,"19,800","16,600.00",75,825.45,882.05,975,-123.30,851.70,33.24,6,-1,6,
,211,-3,288,33.14,0.05,-1.10,-,-,0.05,"2,175","16,650.00","3,000",875.30,939.90,"3,000",-71.00,931.05,80.37,3,1,4,
,"4,690","-1,198","10,767",34.78,0.05,-0.90,-,-,0.05,"16,500","16,700.00","3,000",925.30,982.05,975,-63.30,997.15,94.10,2,1,3,
,111,-11,426,38.48,0.10,-0.75,-,-,0.10,75,"16,750.00","3,000",975.30,"1,049.30","3,000",-,-,-,-,-,1,
,"3,542","-1,103","8,988",38.03,0.05,-0.75,-,-,0.05,"22,275","16,800.00","1,500","1,008.30","1,082.05",975,-,-,-,-,-,3,
,149,42,381,39.63,0.05,-0.70,-,-,0.05,"2,175","16,850.00","1,500","1,063.70","1,171.55","1,500",-,-,-,-,-,-,
,"4,440",-654,"9,604",41.23,0.05,-0.60,-,-,0.05,"76,425","16,900.00","1,500","1,108.95","1,182.05",975,-,-,-,-,-,-,
,743,579,"1,388",42.82,0.05,-0.60,-,-,0.05,"13,425","16,950.00","1,500","1,157.45","1,275.60","1,500",-,-,-,-,-,-,
,"16,147","-2,259","32,660",44.40,0.05,-0.55,-,-,0.05,"1,06,650","17,000.00","1,500","1,204.55","1,282.05",975,-114.45,"1,251.00",-,3,-,1,
,47,-13,316,48.50,0.10,-0.60,-,-,0.10,"2,625","17,050.00","1,500","1,255.45","1,380.05","1,500",-,-,-,-,-,-,
,"7,135",-856,"4,054",47.54,0.05,-0.50,-,-,0.05,"2,850","17,100.00","1,500","1,304.75","1,382.05",975,-,-,-,-,-,-,
,78,13,"3,996",49.09,0.05,-0.45,-,-,0.05,150,"17,150.00","1,500","1,350.65","1,483.40","1,500",-,-,-,-,-,-,
,"1,720",-75,"4,098",50.64,0.05,-0.45,-,-,0.05,"9,525","17,200.00","1,500","1,399.20","1,482.00","1,125",-,-,-,-,-,-,
,230,165,673,52.18,0.05,-0.70,-,-,0.05,"8,250","17,250.00","1,500","1,453.20","1,566.95","1,500",-,-,-,-,-,-,
